id,title,artist,genre
350,KNOW ABOUT ME,NMIXX,Korean
351,Like I Do (Jay Park Remix),朴宰范,Korean
352,클락션 (Klaxon),i-dle,Korean
353,Soda Pop,Saja Boys/Andrew 崔/Neckwav/Danny Chung/Kevin Woo/samUIL Lee/KPop Demon Hunters Cast,Korean
354,Y,Free Style,Korean
355,가위바위보,FIFTY FIFTY,Korean
356,HANDS UP,MEOVV,Korean
357,꿈결같아서,MINNIE,Korean
358,Elevator,BAEKHYUN,Korean
359,HOT SAUCE,BABYMONSTER,Korean
360,나만 바라봐,TAEYANG,Korean
361,I AM,IVE,Korean
362,DREAM,BABYMONSTER,Korean
363,Doll,i-dle,Korean
364,나였으면,罗润权/도경수 (D.O.),Korean
365,REBEL HEART,IVE,Korean
366,Run & Run,金艺林,Korean
367,SPINNIN′ ON IT,NMIXX,Korean
368,LLOOVVEE,itssiu,Korean
369,Your Idol,Saja Boys/Andrew 崔/Neckwav/Danny Chung/Kevin/samUIL Lee/KPop Demon Hunters Cast,Korean
370,Super Lady,i-dle,Korean
371,WORK,ATEEZ,Korean
372,"바이, 썸머",IU,Korean
373,What It Sounds Like,HUNTR/X/EJAE/Audrey Nuna/REI AMI/KPop Demon Hunters Cast,Korean
374,ATTITUDE,IVE,Korean
375,Pookie,FIFTY FIFTY,Korean
376,Live My Life,aespa,Korean
377,B.O.M.B,TREASURE,Korean
378,Boom Boom Bass,RIIZE,Korean
379,Almost (feat. Sonny Zero),oftn,Korean
380,흔적기관 (痕跡器管),KIMMUSEUM/JEMN,Korean
381,Nothing,KISS OF LIFE,Korean
382,WICKED,ALLDAY PROJECT,Korean
383,Sacred Light (비비노스 - 에이스테 Sub : Luka Part.2),BL8M,Korean
384,How It’s Done,HUNTR/X/EJAE/Audrey Nuna/REI AMI/KPop Demon Hunters Cast,Korean
385,Red Rover,宋雨琦,Korean
386,YELLOW,TREASURE,Korean
387,첫눈이 오면,SUHO,Korean
388,Strawberry Champagne,Dept,Korean
